z,eigen_real,eigen_imag,eigen_abs
-2.552544116973877,-2.8718237411642183e-06,-8.273874626121679e-07,2.9886354099492043e-06
-2.5280003547668457,3.071430917215514e-06,2.6344780721291526e-07,3.08270865090307e-06
-2.5034565925598145,-3.2608991322089243e-06,1.1850018744325365e-07,3.263051554123073e-06
-2.4789130687713623,2.0645181895730035e-06,5.767827285358362e-07,2.1435749744329064e-06
-2.454369306564331,-2.4370408051353095e-07,-1.4165751628278161e-06,1.4373854287558364e-06
-2.4298255443573,-7.21076418157087e-07,9.74013924743312e-07,1.2118804918044207e-06
-2.4052817821502686,6.665559211226249e-07,-9.76460874203139e-07,1.1822743483782392e-06
-2.3807382583618164,1.410574100579629e-06,8.628930484326119e-07,1.6535730120739621e-06
-2.356194496154785,-1.91214402382229e-06,-6.016986835579115e-07,2.0045787771087025e-06
-2.331650733947754,1.0868479809454765e-06,2.6361346686917434e-08,1.0871676293398397e-06
-2.3071072101593018,-1.038911772513936e-06,-2.0859222934887834e-07,1.0596454073003776e-06
-2.2825634479522705,8.434427442893905e-07,4.830123874134945e-07,9.71955055179663e-07
-2.2580196857452393,-2.700351868059012e-07,-8.561730865652008e-07,8.977479358215649e-07
-2.233475923538208,-2.598137384328278e-07,1.3108115650329533e-06,1.3363121408198695e-06
-2.208932399749756,-1.0120464271306817e-07,-6.748116265874699e-07,6.823584916188167e-07
-2.1843886375427246,-1.0861474122351608e-06,-3.575403710067395e-07,1.1434821021794672e-06
-2.1598448753356934,4.6048521510961096e-07,-1.5811371884817995e-07,4.868742973525569e-07
-2.135301351547241,7.27448048179085e-07,2.4400863903405587e-07,7.672814859768301e-07
-2.11075758934021,-9.57553907546775e-07,-4.867995445741043e-07,1.074189593347307e-06
-2.0862138271331787,1.070737637094943e-06,5.532748699728376e-07,1.2052353169547939e-06
-2.0616700649261475,-1.1979433125495804e-06,-7.274957434482421e-07,1.401541378917359e-06
-2.0371265411376953,6.655916874827017e-07,5.784150791369912e-07,8.81802868116861e-07
-2.012582778930664,7.777763696335569e-08,-4.250119719829714e-07,4.320700604536926e-07
-1.9880391359329224,8.299458640144717e-08,3.277380184113354e-07,3.380832886791894e-07
-1.9634953737258911,-9.88119894204994e-07,1.781067898853982e-07,1.0040433028146596e-06
-1.9389517307281494,2.367692882998436e-06,-4.5693539388616484e-07,2.411381251977246e-06
-1.9144079685211182,-1.0229028883611463e-06,-1.4558343347778851e-06,1.7792649969399564e-06
-1.8898643255233765,2.8173182368804024e-06,2.8714418379321066e-06,4.022742879738377e-06
-1.8653206825256348,-1.936320916388563e-06,-3.98072462557278e-06,4.4266812891697315e-06
-1.8407769203186035,5.479808242349857e-06,3.0393595176871873e-06,6.266259223067708e-06
-1.8162332773208618,-3.81427651294484e-06,-2.096022882300576e-06,4.352242782788003e-06
-1.7916895151138306,5.938827855110507e-06,-9.367183788530668e-08,5.939566541916109e-06
-1.7671458721160889,6.742629497309486e-07,2.3650002985533427e-07,7.145367656751146e-07
-1.7426022291183472,3.102735651376365e-06,-9.135472982345411e-07,3.2344299634454206e-06
-1.718058466911316,3.566836885563871e-06,-2.5763769076099956e-06,4.4000049248023595e-06
-1.6935148239135742,7.983442020077707e-06,-8.116124731481566e-07,8.024591035966386e-06
-1.668971061706543,8.486393155297194e-06,-7.005217668064531e-06,1.1004178450172396e-05
-1.6444274187088013,1.9277213171324328e-05,-1.3182444767939931e-06,1.9322233725769857e-05
-1.61988365650177,1.9100215016678368e-05,-5.1279652051822245e-06,1.9776608425837467e-05
-1.5953400135040283,3.5733633948479986e-05,9.976701917182907e-07,3.5747558531673245e-05
-1.5707963705062866,3.5435202679714715e-05,1.0511410763407092e-05,3.696137639738991e-05
-1.5462526082992554,5.749695784076565e-05,1.3661713870475638e-05,5.9097737577859344e-05
-1.5217089653015137,7.3083413619794e-05,6.704038436935958e-06,7.339025465064015e-05
-1.4971652030944824,0.00010200298486059559,-8.592269105399644e-06,0.00010236423207766714
-1.4726215600967407,0.00013089886987631343,-4.217766112962969e-05,0.00013752624925177708
-1.448077917098999,0.00017538927648107463,-5.8736876328039365e-05,0.00018496329080477085
-1.4235341548919678,0.0002199097235723624,-6.813147829669521e-05,0.00023022203382075726
-1.398990511894226,0.0002908962215887434,-5.533391820409224e-05,0.0002961122325038675
-1.3744467496871948,0.00035976174770373904,-4.1010961341456536e-05,0.00036209172050876727
