z,eigen_real,eigen_imag,eigen_abs
5.105088233947753906e+00,5.320492014288902283e-02,4.179862793534994125e-03,5.336885526776313782e-02
5.301437854766845703e+00,4.506618529558181763e-02,7.185089401900768280e-03,4.563536494970321655e-02
5.497787475585937500e+00,3.776988387107849121e-02,8.122308179736137390e-03,3.863335400819778442e-02
5.694137096405029297e+00,3.242971748113632202e-02,8.052613586187362671e-03,3.341453522443771362e-02
5.890486717224121094e+00,2.863115444779396057e-02,8.216127753257751465e-03,2.978670410811901093e-02
6.086835861206054688e+00,2.540113590657711029e-02,8.565247990190982819e-03,2.680636383593082428e-02
6.283185958862304688e+00,2.250787056982517242e-02,9.194190613925457001e-03,2.431331761181354523e-02
6.479535102844238281e+00,1.965641044080257416e-02,9.753277525305747986e-03,2.194312773644924164e-02
6.675884246826171875e+00,1.715152151882648468e-02,1.042558159679174423e-02,2.007155865430831909e-02
6.872234344482421875e+00,1.470278389751911163e-02,1.082513108849525452e-02,1.825802028179168701e-02
7.068583965301513672e+00,1.248015929013490677e-02,1.105613633990287781e-02,1.667310670018196106e-02
7.264933109283447266e+00,8.710545487701892853e-03,1.021432317793369293e-02,1.342408265918493271e-02
7.461283206939697266e+00,5.471783224493265152e-03,9.618829004466533661e-03,1.106626819819211960e-02
7.657632350921630859e+00,3.095595166087150574e-03,8.729205466806888580e-03,9.261842817068099976e-03
7.853982448577880859e+00,1.516633434221148491e-03,6.956581026315689087e-03,7.119985762983560562e-03
8.050331115722656250e+00,6.058673025108873844e-04,4.791229497641324997e-03,4.829384852200746536e-03
8.246681213378906250e+00,1.869555417215451598e-04,2.822435228154063225e-03,2.828620374202728271e-03
8.443031311035156250e+00,2.350941031181719154e-05,1.472280942834913731e-03,1.472468604333698750e-03
8.639380455017089844e+00,-1.832676207413896918e-05,6.994046852923929691e-04,6.996447918936610222e-04
8.835729598999023438e+00,-2.229850178991910070e-05,3.222358063794672489e-04,3.230064176023006439e-04
9.032079696655273438e+00,-1.461282681702869013e-05,1.465917011955752969e-04,1.473182346671819687e-04
9.228429794311523438e+00,-1.023835739033529535e-05,7.851130067138001323e-05,7.917606126284226775e-05
