model,kx,t_nu,response,response_imag,p_max,j_max
original_sugama,0.05,7.948742502588004,-3.4566330532447345e-07,1.6690548289178364e-16,24,10
original_sugama,0.05,7.99873459379925,1.783572307036173e-06,8.812204015872508e-17,24,10
original_sugama,0.05,8.048726685010495,4.734645970096347e-06,-8.203707323548991e-17,24,10
original_sugama,0.05,8.09871877622174,5.766900399214253e-06,-1.835058080285834e-16,24,10
original_sugama,0.05,8.148710867432985,4.036803453782978e-06,-1.2594695185560375e-16,24,10
original_sugama,0.05,8.19870295864423,1.2681393028449476e-06,3.115984611198733e-17,24,10
original_sugama,0.05,8.248695049855476,4.2164017327549145e-08,1.3935450304651708e-16,24,10
original_sugama,0.05,8.298687141066722,1.3949698162980643e-06,1.0127298643024074e-16,24,10
original_sugama,0.05,8.348679232277966,3.952857763765687e-06,-4.203212362210773e-17,24,10
original_sugama,0.05,8.398671323489213,5.3140962209767416e-06,-1.5457752042858566e-16,24,10
original_sugama,0.05,8.448663414700457,4.296603721204603e-06,-1.3430727271732694e-16,24,10
original_sugama,0.05,8.498655505911703,1.9531618619042664e-06,-5.419623783937847e-18,24,10
original_sugama,0.05,8.548647597122947,4.919374016847455e-07,1.0915174083391145e-16,24,10
original_sugama,0.05,8.598639688334194,1.198799092338291e-06,1.0477210259300784e-16,24,10
original_sugama,0.05,8.648631779545438,3.311704030003798e-06,-9.55605536341562e-18,24,10
original_sugama,0.05,8.698623870756684,4.824740999656598e-06,-1.2423928217943723e-16,24,10
original_sugama,0.05,8.748615961967928,4.385730629847703e-06,-1.339832092027228e-16,24,10
original_sugama,0.05,8.798608053179175,2.4966856079830615e-06,-3.429382024714787e-17,24,10
original_sugama,0.05,8.848600144390419,9.573929195579992e-07,7.864691226903254e-17,24,10
original_sugama,0.05,8.898592235601665,1.1531637957506445e-06,1.0056653670549893e-16,24,10
original_sugama,0.05,8.94858432681291,2.8116245369590877e-06,1.5177937008036717e-17,24,10
original_sugama,0.05,8.998576418024156,4.33896130943586e-06,-9.459356391089703e-17,24,10
original_sugama,0.05,9.0485685092354,4.345238614451207e-06,-1.2695443793765984e-16,24,10
original_sugama,0.05,9.098560600446646,2.9030791050309507e-06,-5.55109946873269e-17,24,10
