t,phi_zonal_real
2.702042770385742188e+01,1.119075621717903317e-04
2.722043228149414062e+01,1.179104897324513026e-04
2.742043685913085938e+01,1.230870639376739715e-04
2.762044143676757812e+01,1.273703822474507282e-04
2.782044601440429688e+01,1.307051036296845621e-04
2.802045059204101562e+01,1.330481543372304186e-04
2.822045516967773438e+01,1.343687715732545861e-04
2.842045974731445312e+01,1.346488818285603570e-04
2.862046432495117188e+01,1.338834064772229798e-04
2.882046890258789062e+01,1.320803345389645600e-04
2.902047348022460938e+01,1.292606644707359131e-04
2.922047805786132812e+01,1.254583605040891228e-04
2.942048263549804688e+01,1.207202362382807782e-04
2.962048721313476562e+01,1.151055107934199342e-04
2.982049179077148438e+01,1.086853067847386113e-04
3.002049636840820312e+01,1.015418135622969941e-04
3.022050094604492188e+01,9.376799620045609643e-05
3.042050552368164062e+01,8.546614026433603257e-05
3.062051010131835938e+01,7.674700055834554060e-05
3.082051467895507812e+01,6.772852053784053270e-05
3.102051925659179688e+01,5.853448261044057600e-05
3.122052383422851562e+01,4.929294380964575450e-05
3.142052841186523438e+01,4.013474058449869350e-05
3.162053298950195312e+01,3.119181897079054355e-05
3.182053756713867188e+01,2.259550287505155663e-05
3.202054214477539062e+01,1.447478245569123678e-05
3.222054672241210938e+01,6.954601958975573572e-06
3.242055130004882812e+01,1.539424251289288134e-07
3.262055587768554688e+01,-5.815667632203103647e-06
3.282056045532226562e+01,-1.085211623275351823e-05
3.302056503295898438e+01,-1.486397900373920446e-05
3.322056961059570312e+01,-1.777257233383125294e-05
3.342057418823242188e+01,-1.951302013320381081e-05
3.362057876586914062e+01,-2.003566581473121999e-05
3.382058334350585938e+01,-1.930764754822724848e-05
3.402058792114257812e+01,-1.731363130975706332e-05
3.422059249877929688e+01,-1.405686679088325129e-05
3.442059707641601562e+01,-9.559932301960771589e-06
3.462060165405273438e+01,-3.865039427199404504e-06
3.482060623168945312e+01,2.965596121242349511e-06
3.502061080932617188e+01,1.084999348069500784e-05
3.522061538696289062e+01,1.968689730552650657e-05
3.542061996459960938e+01,2.935654220096441206e-05
3.562062454223632812e+01,3.972194898969663430e-05
3.582062911987304688e+01,5.063044787548300605e-05
3.602063369750976562e+01,6.191578304115515693e-05
3.622063827514648438e+01,7.340042092780524764e-05
3.642064285278320312e+01,8.489816231126391590e-05
3.662064743041992188e+01,9.621718366984386426e-05
3.682065200805664062e+01,1.071634932367333072e-04
3.702065658569335938e+01,1.175439942204277563e-04
3.722066116333007812e+01,1.271702755386171137e-04
3.742066574096679688e+01,1.358620097361563743e-04
3.762067031860351562e+01,1.434506927964797340e-04
3.782067489624023438e+01,1.497829765456261256e-04
3.802067947387695312e+01,1.547239210072836246e-04
3.822068405151367188e+01,1.581598611298184413e-04
3.842068862915039062e+01,1.600013171687141998e-04
3.862069320678710938e+01,1.601848427824784180e-04
3.882069778442382812e+01,1.586753533404860691e-04
3.902070236206054688e+01,1.554667807556273779e-04
3.922070693969726562e+01,1.505834122618590685e-04
3.942071151733398438e+01,1.440798904158435158e-04
3.962071609497070312e+01,1.360408347383252876e-04
3.982072067260742188e+01,1.265801432275205803e-04
4.002072525024414062e+01,1.158393698136694471e-04
4.022072982788085938e+01,1.039859854045829520e-04
4.042073440551757812e+01,9.121067851188840070e-05
4.062073898315429688e+01,7.772449576955459008e-05
4.082074356079101562e+01,6.375553868909735941e-05
4.102074813842773438e+01,4.954513644344188644e-05
4.122075271606445312e+01,3.534352037361047759e-05
4.142075729370117188e+01,2.140583852120722785e-05
