model,coordinate,kx,t_nu,abscissa,normalized_distribution,p_max,j_max
coulomb,parallel,0.19999999999999998,5.001708725685093,0.8999999999999999,0.8063879844160545,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.9749999999999996,0.731263631688649,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.0499999999999998,0.6529410423675818,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.125,0.5748185896520046,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.2000000000000002,0.4996122006881095,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.2749999999999995,0.42927375091555386,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.3499999999999996,0.3650111661724133,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.4249999999999998,0.3073880202496171,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.5,0.25647186751286605,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.5750000000000002,0.21199761678978707,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.6499999999999995,0.17351589804508577,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.7249999999999996,0.14050591887747269,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.7999999999999998,0.11244502698793486,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.875,0.08883912741657315,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,1.9500000000000002,0.06922586344713604,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.0249999999999995,0.05316474216744986,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.0999999999999996,0.040226079682911496,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.175,0.029985900530592233,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.25,0.022028922810344867,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.325,0.01595796390250758,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.3999999999999995,0.011406118854769852,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.4749999999999996,0.008047823777672932,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.55,0.005605947499826811,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.625,0.003853712296497607,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.7,0.002611875049771157,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.7749999999999995,0.0017426872415259322,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.8499999999999996,0.0011424667980810357,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,2.925,0.0007342790189091547,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,3.0,0.00046159118055259156,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.0,1.0,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.05,0.9025323747412729,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.1,0.8125188233222511,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.15000000000000002,0.7294195171069099,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.2,0.6527365601884905,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.25,0.5820102656993067,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.30000000000000004,0.5168157984205082,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.35000000000000003,0.4567601465243028,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.4,0.4014793889835768,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.45,0.3506362285315825,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.5,0.30391776307998775,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.55,0.26103347123668075,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.6000000000000001,0.2217133900323865,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.65,0.18570646519200662,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.7000000000000001,0.1527790562951022,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.75,0.12271358098055106,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.8,0.0953072839817526,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.8500000000000001,0.07037111824776938,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.9,0.047728726727902605,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,0.9500000000000001,0.027215514586422646,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.0,0.00867780268325164,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.05,0.008027945883088295,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.1,0.023035833511479517,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.1500000000000001,0.036471176680421505,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.2000000000000002,0.04845110124957757,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.25,0.059085089731641824,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.3,0.06847548522822895,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.35,0.0767179562246194,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.4000000000000001,0.08390192599188727,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.4500000000000002,0.09011096994590766,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.5,0.09542318395620612,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.55,0.09991152627924248,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.6,0.10364413550660712,24,10
